0.000000000000000000e+00,4.493750000000000000e+02,2.246875000000000000e+02,1.497916666666666572e+02,1.123437500000000000e+02,8.987500000000000000e+01,7.489583333333332860e+01,6.419642857142856940e+01,5.617187500000000000e+01,4.993055555555555713e+01
4.493750000000000000e+02,3.177561097957047309e+02,2.009666094777935825e+02,1.421048523538165114e+02,1.089894465007021296e+02,8.812968822772144506e+01,7.387679492034492057e+01,6.355122195914095329e+01,5.573810885602555487e+01,4.962516702988416029e+01
2.246875000000000000e+02,2.009666094777935825e+02,1.588780548978523655e+02,1.246342003393561555e+02,1.004833047388967913e+02,8.344684259331268095e+01,7.105242617690825568e+01,6.172640342444213246e+01,5.449472325035106479e+01,4.874156224112930857e+01
1.497916666666666572e+02,1.421048523538165114e+02,1.246342003393561555e+02,1.059187032652349387e+02,8.987500000000000000e+01,7.706717669841489737e+01,6.698886982593118944e+01,5.900582826633782219e+01,5.259536552126117215e+01,4.736828411793884186e+01
1.123437500000000000e+02,1.089894465007021296e+02,1.004833047388967913e+02,8.987500000000000000e+01,7.943902744892618273e+01,7.018058424869234102e+01,6.231710016967807775e+01,5.573810885602555487e+01,5.024165236944839563e+01,4.562711829569200717e+01
8.987500000000000000e+01,8.812968822772144506e+01,8.344684259331268095e+01,7.706717669841489737e+01,7.018058424869234102e+01,6.355122195914095329e+01,5.753657291984512767e+01,5.223878266050378727e+01,4.763365473278579998e+01,4.364715843967955067e+01
7.489583333333332860e+01,7.387679492034492057e+01,7.105242617690825568e+01,6.698886982593118944e+01,6.231710016967807775e+01,5.753657291984512767e+01,5.295935163261746936e+01,4.874156224112930857e+01,4.493750000000000000e+01,4.154473344645204946e+01
6.419642857142856940e+01,6.355122195914095329e+01,6.172640342444213246e+01,5.900582826633782219e+01,5.573810885602555487e+01,5.223878266050378727e+01,4.874156224112930857e+01,4.539372997081496663e+01,4.227364402298790225e+01,3.941279474260961990e+01
5.617187500000000000e+01,5.573810885602555487e+01,5.449472325035106479e+01,5.259536552126117215e+01,5.024165236944839563e+01,4.763365473278579998e+01,4.493750000000000000e+01,4.227364402298790225e+01,3.971951372446309136e+01,3.731856250927439334e+01
4.993055555555555713e+01,4.962516702988416029e+01,4.874156224112930857e+01,4.736828411793884186e+01,4.562711829569200717e+01,4.364715843967955067e+01,4.154473344645204946e+01,3.941279474260961990e+01,3.731856250927439334e+01,3.530623442174497484e+01
